PROJECT:;PRJ-6076
LOAD CASE NAME:;DLC12_V03.0_G2_N_S2
LOAD CASE TYPE:;FATIGUE
LOAD CASE SUBTYPE:;F_Power_production
REPETITIONS:;302.43
LOAD FACTOR:;1
APPLIED LOAD FACTOR:;YES
DAF:;1
APPLIED DAF:;YES
PROCESS:;WRITE
PROCESS VERSION:;v2.0


;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;HUB_CENTER;HUB_CENTER
;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Unknown;Unknown
;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0
Time;FB_STA_FX;FB_STA_FY;FB_STA_FYZ;FB_STA_FZ;FB_STA_MX;FB_STA_MY;FB_STA_MYZ;FB_STA_MZ;ROTOR_AZIMUTH;ROTOR_SPEED
[s];[N];[N];[N];[N];[Nm];[Nm];[Nm];[Nm];[rad];[rad/s]
0;3.045140E+05;2.020196E+03;1.201808E+06;-1.201807E+06;5.406499E+05;-4.691399E+06;4.843857E+06;1.205707E+06;9.207559E-01;5.358762E-01
0.04;3.026344E+05;2.007924E+03;1.202670E+06;-1.202669E+06;5.361729E+05;-4.525008E+06;4.730382E+06;1.378701E+06;9.421925E-01;5.359325E-01
0.08;3.002399E+05;2.363523E+03;1.205971E+06;-1.205968E+06;5.310103E+05;-4.357646E+06;4.624347E+06;1.547743E+06;9.636288E-01;5.358722E-01
0.12;2.991339E+05;2.538124E+03;1.208651E+06;-1.208648E+06;5.245564E+05;-4.211522E+06;4.534596E+06;1.680964E+06;9.850636E-01;5.359138E-01
0.16;2.987224E+05;1.438595E+03;1.207794E+06;-1.207794E+06;5.223723E+05;-4.132761E+06;4.510730E+06;1.807476E+06;1.006507E+00;5.363455E-01
0.2;2.966100E+05;-3.626206E+02;1.204813E+06;-1.204813E+06;5.301787E+05;-4.093887E+06;4.532510E+06;1.945185E+06;1.027975E+00;5.370445E-01
